#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 2::Idyll 11.1–18
#columns:Front	Back	Tags
#tags column:3
φύω (perf. πέφυκα)	produce, make grow; (perf.) have grown, be by nature	Quiz2 Idyll11 Theocritus verb
δοκέω	think, suppose; seem, seem good	Quiz2 Idyll11 Theocritus verb
γίγνομαι (Ionic/Hellenistic γίνομαι)	become, come to be, prove to be	Quiz2 Idyll11 Theocritus verb
εὑρίσκω (aor. ηὗρον/εὗρον)	find, discover	Quiz2 Idyll11 Theocritus verb
γιγνώσκω (Ionic/Hellenistic γινώσκω)	know, recognize, come to know	Quiz2 Idyll11 Theocritus verb
οἴομαι (contr. οἶμαι)	think, suppose	Quiz2 Idyll11 Theocritus verb
φιλέω (perf. mid./pass. πεφίλημαι)	love, be fond of; (perf. pass.) be beloved	Quiz2 Idyll11 Theocritus verb
διάγω	pass one's time, get through life, live	Quiz2 Idyll11 Theocritus verb
ἔραμαι (aor. ἠράσθην/ἠράμην)	love, fall in love with, long for (+ gen.)	Quiz2 Idyll11 Theocritus verb
γενειάω (Doric γενειάσδω)	grow a beard, get one's first beard	Quiz2 Idyll11 Theocritus verb
ἡγέομαι (Doric ἁγέομαι)	lead, guide; consider, count, reckon	Quiz2 Idyll11 Theocritus verb
ἀπέρχομαι (Doric aor. ἀπῆνθον = ἀπῆλθον)	go away, go back, depart	Quiz2 Idyll11 Theocritus verb
ἀείδω (= ᾄδω)	sing (of)	Quiz2 Idyll11 Theocritus verb
κατατήκω (Doric κατατάκομαι)	melt away, waste away, pine away utterly	Quiz2 Idyll11 Theocritus verb
ἔχω	have, hold	Quiz2 Idyll11 Theocritus verb
πήγνυμι (aor. ἔπηξα, Doric πᾶξε)	fix, drive in, fasten, make firm	Quiz2 Idyll11 Theocritus verb
καθέζομαι	sit down, be seated	Quiz2 Idyll11 Theocritus verb
ὁράω	see, look	Quiz2 Idyll11 Theocritus verb
φάρμακον, -ου, τό	drug, remedy, cure; charm, spell	Quiz2 Idyll11 Theocritus noun
ἔρως, -ωτος, ὁ	love, desire, passion	Quiz2 Idyll11 Theocritus noun
Μοῦσα, -ης, ἡ (Doric Μοῖσα)	Muse; song, poetic art	Quiz2 Idyll11 Theocritus noun
ἄνθρωπος, -ου, ὁ	man, human being	Quiz2 Idyll11 Theocritus noun
ἰατρός, -οῦ, ὁ	doctor, physician	Quiz2 Idyll11 Theocritus noun
στόμα, -ατος, τό	mouth	Quiz2 Idyll11 Theocritus noun
κρόταφος, -ου, ὁ	temple (of the head), side of the forehead	Quiz2 Idyll11 Theocritus noun
μῆλον, -ου, τό (Doric μᾶλον)	apple; tree-fruit	Quiz2 Idyll11 Theocritus noun
ῥόδον, -ου, τό	rose	Quiz2 Idyll11 Theocritus noun
κίκιννος, -ου, ὁ	curl, ringlet, love-lock	Quiz2 Idyll11 Theocritus noun
μανία, -ας, ἡ	madness, frenzy	Quiz2 Idyll11 Theocritus noun
πάρεργον, -ου, τό	by-work, side-issue, secondary matter	Quiz2 Idyll11 Theocritus noun
ὄϊς, ὄϊος, ἡ	sheep, ewe	Quiz2 Idyll11 Theocritus noun
βοτάνη, -ης, ἡ (Doric βοτάνα)	pasture, fodder, grazing	Quiz2 Idyll11 Theocritus noun
ἠϊών, -όνος, ἡ (Doric ἀϊών)	shore, beach, sea-bank	Quiz2 Idyll11 Theocritus noun
ἠώς, -οῦς, ἡ (Doric ἀώς)	dawn, daybreak	Quiz2 Idyll11 Theocritus noun
ἕλκος, -εος, τό	wound, sore, ulcer	Quiz2 Idyll11 Theocritus noun
ἧπαρ, -ατος, τό	liver	Quiz2 Idyll11 Theocritus noun
βέλεμνον, -ου, τό	missile, dart, shaft, arrow	Quiz2 Idyll11 Theocritus noun
πέτρα, -ας, ἡ	rock, crag	Quiz2 Idyll11 Theocritus noun
πόντος, -ου, ὁ	sea, open sea	Quiz2 Idyll11 Theocritus noun
ἄλλος, -η, -ο	other, another	Quiz2 Idyll11 Theocritus adjective
οὐδείς, οὐδεμία, οὐδέν	no one, nothing; no	Quiz2 Idyll11 Theocritus adjective
πᾶς, πᾶσα, πᾶν	all, every, whole	Quiz2 Idyll11 Theocritus adjective
κοῦφος, -η, -ον	light, gentle; bringing relief	Quiz2 Idyll11 Theocritus adjective
ἡδύς, -εῖα, -ύ (Doric ἁδύς)	sweet, pleasant	Quiz2 Idyll11 Theocritus adjective
ῥᾴδιος, -α, -ον	easy	Quiz2 Idyll11 Theocritus adjective
μέγας, μεγάλη, μέγα	great, large, mighty	Quiz2 Idyll11 Theocritus adjective
ὀρθός, -ή, -όν	straight, upright; real, outright, downright	Quiz2 Idyll11 Theocritus adjective
χλωρός, -ά, -όν	green, fresh, verdant	Quiz2 Idyll11 Theocritus adjective
ἐχθρός, -ά, -όν (superl. ἔχθιστος)	hated, hateful, hostile	Quiz2 Idyll11 Theocritus adjective
ὑποκάρδιος, -ον	under the heart, beneath the breast	Quiz2 Idyll11 Theocritus adjective
ὑψηλός, -ή, -όν	high, lofty	Quiz2 Idyll11 Theocritus adjective
ἔγχριστος, -ον	to be smeared on; (subst.) ointment, salve	Quiz2 Idyll11 Theocritus adjective
ἐπίπαστος, -ον	to be sprinkled on; (subst.) powder	Quiz2 Idyll11 Theocritus adjective
φυκιόεις, -εσσα, -εν	full of seaweed, seaweed-strewn	Quiz2 Idyll11 Theocritus adjective
ἐννέα	nine	Quiz2 Idyll11 Theocritus numeral
