#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 1::Odyssey 5.55–94
#columns:Front	Back	Tags
#tags column:3
ἀφικνέομαι	arrive at, reach, come to	Quiz1 Odyssey5 Homer verb
βαίνω	go, walk, step	Quiz1 Odyssey5 Homer verb
εἶμι (ἔρχομαι)	go, come	Quiz1 Odyssey5 Homer verb
ἱκνέομαι	come to, reach, arrive at	Quiz1 Odyssey5 Homer verb
ναίω	dwell, live, inhabit	Quiz1 Odyssey5 Homer verb
τέτμον (root aorist, no present)	find, come upon, meet with	Quiz1 Odyssey5 Homer verb
καίω	burn, kindle	Quiz1 Odyssey5 Homer verb
ὄζω	smell, give off a scent	Quiz1 Odyssey5 Homer verb
δαίω	kindle, set on fire (mid. burn, blaze)	Quiz1 Odyssey5 Homer verb
ὑφαίνω	weave	Quiz1 Odyssey5 Homer verb
φύω	bring forth, produce; (intr.) grow	Quiz1 Odyssey5 Homer verb
μέλω	be a care, be an object of concern	Quiz1 Odyssey5 Homer verb
τανύω	stretch, extend, spread	Quiz1 Odyssey5 Homer verb
θάλλω	bloom, flourish, abound	Quiz1 Odyssey5 Homer verb
ῥέω	flow, stream	Quiz1 Odyssey5 Homer verb
τρέπω	turn	Quiz1 Odyssey5 Homer verb
ἐπέρχομαι	come upon, approach, attack	Quiz1 Odyssey5 Homer verb
θηέομαι (θεάομαι)	gaze at, behold, marvel at	Quiz1 Odyssey5 Homer verb
ὁράω	see, look	Quiz1 Odyssey5 Homer verb
τέρπω	delight; (pass.) take delight	Quiz1 Odyssey5 Homer verb
ἵστημι	make stand, set up; (intr.) stand	Quiz1 Odyssey5 Homer verb
ἔρχομαι	come, go	Quiz1 Odyssey5 Homer verb
ἀγνοιέω (ἀγνοέω)	fail to recognize, not know	Quiz1 Odyssey5 Homer verb
πέλομαι	be, become	Quiz1 Odyssey5 Homer verb
κλαίω	weep, lament	Quiz1 Odyssey5 Homer verb
κάθημαι	sit, be seated	Quiz1 Odyssey5 Homer verb
δέρκομαι	look, gaze, see	Quiz1 Odyssey5 Homer verb
λείβω	pour, shed (tears)	Quiz1 Odyssey5 Homer verb
ἐρεείνω	ask, inquire, question	Quiz1 Odyssey5 Homer verb
ἱδρύω	seat, establish, set up	Quiz1 Odyssey5 Homer verb
αὐδάω	speak, say, utter	Quiz1 Odyssey5 Homer verb
φρονέω	think, intend, have in mind	Quiz1 Odyssey5 Homer verb
τελέω	accomplish, fulfil, complete	Quiz1 Odyssey5 Homer verb
δύναμαι	be able, can	Quiz1 Odyssey5 Homer verb
ἕπομαι	follow, accompany	Quiz1 Odyssey5 Homer verb
τίθημι	put, place, set	Quiz1 Odyssey5 Homer verb
παρατίθημι	set before, serve (food)	Quiz1 Odyssey5 Homer verb
φωνέω	speak, utter, raise the voice	Quiz1 Odyssey5 Homer verb
πίμπλημι	fill	Quiz1 Odyssey5 Homer verb
κεράννυμι	mix, mingle	Quiz1 Odyssey5 Homer verb
πίνω	drink	Quiz1 Odyssey5 Homer verb
ἔδω (ἐσθίω)	eat	Quiz1 Odyssey5 Homer verb
ἄνωγα	bid, order, command	Quiz1 Odyssey5 Homer verb
νῆσος, -ου, ἡ	island	Quiz1 Odyssey5 Homer noun
πόντος, -ου, ὁ	(open) sea	Quiz1 Odyssey5 Homer noun
σπέος, -ους, τό	cave, grotto	Quiz1 Odyssey5 Homer noun
νύμφη, -ης, ἡ	nymph; bride, young wife	Quiz1 Odyssey5 Homer noun
πῦρ, πυρός, τό	fire	Quiz1 Odyssey5 Homer noun
ἐσχάρα, -ας, ἡ (+ -φι)	hearth, fireplace	Quiz1 Odyssey5 Homer noun
ἱστός, -οῦ, ὁ	loom, web; mast	Quiz1 Odyssey5 Homer noun
ὕλη, -ης, ἡ	wood, forest; (later) matter	Quiz1 Odyssey5 Homer noun
