#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 3::Idyll 11.19–81
#columns:Front	Back	Tags
#tags column:3
φιλέω	love, be fond of; kiss	Quiz3 Idyll11 Theocritus verb
ἀποβάλλω	throw away, throw off, reject	Quiz3 Idyll11 Theocritus verb
προσοράω (Doric ποτιδεῖν = προσιδεῖν)	look at, behold	Quiz3 Idyll11 Theocritus verb
φοιτάω	go to and fro, visit, come and go	Quiz3 Idyll11 Theocritus verb
οἴχομαι	be gone, have departed	Quiz3 Idyll11 Theocritus verb
ἀνίημι	let go, release, slacken	Quiz3 Idyll11 Theocritus verb
φεύγω	flee, run away, avoid	Quiz3 Idyll11 Theocritus verb
ἀθρέω	look at, catch sight of, spy	Quiz3 Idyll11 Theocritus verb
ἔραμαι (aor. ἠράσθην)	love, fall in love with (+ gen.)	Quiz3 Idyll11 Theocritus verb
δρέπω	pluck, pick, cull	Quiz3 Idyll11 Theocritus verb
ἡγεμονεύω (Doric ἁγεμονεύω)	lead the way, guide	Quiz3 Idyll11 Theocritus verb
παύω (mid. παύομαι)	stop, make cease; (mid.) cease, leave off	Quiz3 Idyll11 Theocritus verb
ἐσοράω (= εἰσοράω, aor. εἰσεῖδον)	look at, behold, catch sight of	Quiz3 Idyll11 Theocritus verb
δύναμαι	be able, can	Quiz3 Idyll11 Theocritus verb
μέλω (impers. μέλει)	be a care, be an object of concern (+ dat.)	Quiz3 Idyll11 Theocritus verb
γιγνώσκω (Ionic/Hellenistic γινώσκω)	know, recognize, come to know	Quiz3 Idyll11 Theocritus verb
τείνω (perf. mid./pass. τέταμαι)	stretch, extend; (perf. pass.) lie stretched	Quiz3 Idyll11 Theocritus verb
βόσκω	feed, pasture, graze (transitive)	Quiz3 Idyll11 Theocritus verb
ἀμέλγω	milk	Quiz3 Idyll11 Theocritus verb
πίνω	drink	Quiz3 Idyll11 Theocritus verb
λείπω	leave, leave behind; fail, run short	Quiz3 Idyll11 Theocritus verb
συρίζω (Doric συρίσδω)	play the pan-pipe, pipe	Quiz3 Idyll11 Theocritus verb
ἐπίσταμαι	know how (to), understand, be skilled in	Quiz3 Idyll11 Theocritus verb
ἀείδω (= ᾄδω)	sing (of)	Quiz3 Idyll11 Theocritus verb
τρέφω (Doric τράφω)	rear, nourish, bring up	Quiz3 Idyll11 Theocritus verb
ἀφικνέομαι	come to, arrive at, reach	Quiz3 Idyll11 Theocritus verb
ἐάω	let, allow, permit; leave alone	Quiz3 Idyll11 Theocritus verb
ὀρεχθέω	roar, rumble, thunder	Quiz3 Idyll11 Theocritus verb
διάγω	pass one's time, get through life, live	Quiz3 Idyll11 Theocritus verb
προΐημι (Doric προΐητι = προΐησι)	send forth, let go, send out	Quiz3 Idyll11 Theocritus verb
αἱρέω (aor. εἷλον; mid. choose)	take, seize; (mid.) choose, prefer	Quiz3 Idyll11 Theocritus verb
δοκέω	seem, appear; think, suppose	Quiz3 Idyll11 Theocritus verb
καίω	burn, kindle; (pass.) be burnt	Quiz3 Idyll11 Theocritus verb
ἀνέχομαι	hold up; (mid.) endure, put up with, bear	Quiz3 Idyll11 Theocritus verb
τίκτω (aor. ἔτεκον)	bear, bring forth, give birth to	Quiz3 Idyll11 Theocritus verb
